cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
0,0,240,0,1,0,14,0.409090909,0.022727273,0.0
0,1,90,1,1,1,-1455,0.387096774,0.064516129,0.0
0,1,180,1,0,1,105,0.12605042,0.025210084,0.0
1,1,0,1,0,1,-167,0.137254902,0.049019608,0.111111111
1,1,0,1,1,1,-143,0.047058824,0.011764706,0.0
1,1,0,0,1,1,26,0.333333333,0.055555556,0.0
0,0,240,0,0,1,-77,0.0,0.0,0.25
0,1,240,0,0,1,-92,0.222222222,0.012345679,0.0
0,0,270,0,1,1,-168,0.0,0.0,0.0
0,0,270,0,1,1,-120,0.1171875,0.0,0.0
0,0,270,1,0,0,-142,0.053333333,0.013333333,0.0
1,1,60,0,1,0,-84,0.008474576,0.008474576,0.0
0,0,210,0,1,1,-4,0.033707865,0.011235955,0.0
0,0,150,1,0,0,-196,0.065934066,0.0,0.0
0,1,270,1,1,1,44,0.102272727,0.0,0.0
1,0,30,1,1,1,-150,0.156716418,0.007462687,0.0
1,1,210,1,1,1,-25,0.428571429,0.0,0.0
0,0,300,1,0,1,-187,0.138686131,0.0,0.0
0,0,0,0,1,1,-195,0.188888889,0.022222222,0.0
1,1,180,1,1,1,-35,0.254237288,0.016949153,0.333333333
1,0,30,0,1,1,7,0.974358974,0.076923077,0.5
0,0,180,0,1,1,-71,0.02247191,0.0,0.0
1,1,180,1,0,0,-37,0.01010101,0.01010101,0.166666667
1,1,90,1,1,0,-167,0.574712644,0.0,0.0
0,1,180,1,1,1,-1125,0.068181818,0.004545455,0.5
0,0,240,0,0,0,-216,0.053571429,0.0,0.0
1,1,30,1,1,0,-138,0.226415094,0.037735849,0.5
0,0,240,1,1,1,-142,0.75,0.020833333,0.0
0,0,180,1,1,1,-228,0.112299465,0.0,0.0
0,1,0,1,1,1,-244,0.698113208,0.056603774,1.0
0,1,120,1,0,1,-223,0.046511628,0.034883721,0.5
0,0,240,0,1,0,-204,0.053191489,0.0,0.0
1,1,30,1,1,0,-126,0.644444444,0.022222222,0.333333333
1,1,210,1,1,0,-108,0.101123596,0.0,0.0
0,0,210,1,1,1,-100,0.06741573,0.011235955,0.5
0,1,30,1,1,1,-129,0.043478261,0.010869565,0.0
0,0,0,0,1,1,-141,0.446153846,0.046153846,0.166666667
1,1,270,1,1,1,150,0.295774648,0.042253521,0.0
0,0,180,0,0,0,-152,0.007246377,0.0,0.0
1,1,90,1,1,0,-228,0.039370079,0.0,0.0
1,1,300,1,1,0,-184,0.138461538,0.023076923,0.333333333
0,0,120,0,1,1,-163,0.008928571,0.0,0.0
1,1,330,0,1,1,-207,0.053191489,0.010638298,0.0
0,0,30,1,1,1,-142,0.1,0.025,0.0
0,0,60,1,1,0,-193,0.153846154,0.025641026,0.0
1,1,120,1,1,1,-193,0.016393443,0.0,0.0
1,1,30,1,1,1,-1349,0.367346939,0.040816327,0.571428571
1,1,270,1,1,1,-133,0.3,0.0,0.166666667
0,1,30,1,1,1,-26,0.02173913,0.0,0.0
0,0,210,0,1,1,-113,0.041666667,0.020833333,0.0
1,1,90,1,1,1,-102,0.045296167,0.0,0.0
1,1,90,0,1,1,4,0.022727273,0.022727273,0.428571429
0,0,60,0,1,1,-200,0.043478261,0.0,0.0
0,0,30,1,1,1,-113,0.134831461,0.0,0.0
1,1,210,1,1,1,106,0.184782609,0.065217391,0.0
0,0,60,0,1,1,-72,0.030927835,0.0,0.0
0,0,120,1,1,1,-160,0.260273973,0.130136986,0.0
0,0,0,1,0,1,-200,0.237288136,0.0,0.0
0,0,0,1,0,0,-114,0.0,0.0,0.0
0,1,60,1,0,1,-216,0.087912088,0.010989011,1.0
0,0,90,0,1,1,-241,0.104166667,0.013888889,0.0
0,0,0,0,1,1,-11,0.051020408,0.010204082,0.0
1,0,0,1,1,1,-57,0.086956522,0.043478261,0.0
1,1,240,1,1,1,-249,0.147368421,0.010526316,0.0
1,1,0,1,1,1,-243,0.0,0.0,0.5
1,1,60,1,1,1,-164,0.017045455,0.0,0.0
0,0,30,0,0,1,-137,0.023529412,0.011764706,0.0
0,0,300,1,1,1,54,0.0375,0.0,0.666666667
1,1,270,1,1,1,-250,0.0,0.0,0.0
0,0,30,0,1,1,-99,0.0,0.0,0.0
1,0,60,1,0,1,-171,0.113043478,0.008695652,0.0
1,0,150,0,1,1,-213,0.120689655,0.017241379,0.0
0,1,210,1,1,0,-146,0.005235602,0.0,0.333333333
0,0,240,0,0,1,-23,0.227272727,0.0,0.0
0,0,30,1,0,1,-80,0.457142857,0.085714286,0.0
0,0,90,0,1,1,-1211,0.102803738,0.0,0.0
0,0,30,1,0,1,-38,0.0,0.0,0.0
0,0,150,0,0,1,-224,0.0,0.0,0.0
1,1,360,0,0,1,-128,0.202531646,0.0,0.0
1,1,180,1,0,1,-266,0.076923077,0.012820513,0.0
0,0,120,0,1,1,-232,0.0,0.0,0.0
1,0,210,1,0,1,-95,0.1,0.01,0.0
1,1,0,0,0,1,-92,0.056603774,0.0,0.0
0,0,150,1,1,1,-225,0.053191489,0.0,0.0
0,0,90,0,1,1,-246,0.0,0.0,0.0
1,1,120,1,1,1,-53,0.032258065,0.016129032,0.0
0,0,300,1,1,1,-221,0.031914894,0.0,0.0
0,1,270,1,1,1,-94,0.090909091,0.0,0.375
0,0,30,0,1,1,-19,0.0,0.0,0.0
1,0,30,1,1,1,-28,0.116666667,0.016666667,0.0
0,1,270,1,1,1,-243,0.208333333,0.0625,0.2
1,1,240,1,1,1,-12,0.215686275,0.019607843,0.333333333
0,1,270,1,1,1,-2138,0.069444444,0.0,0.0
0,0,120,1,1,1,191,0.096774194,0.0,0.0
1,1,60,1,1,1,-237,0.3125,0.1875,0.25
0,0,150,0,1,1,-240,0.01,0.0,0.0
1,1,180,0,1,1,-83,0.0,0.0,0.0
1,1,0,1,1,0,-35,0.122222222,0.0,0.0
0,1,300,1,0,1,22,0.039215686,0.0,0.0
1,1,120,1,0,0,-244,0.021276596,0.0,0.0
1,1,90,1,1,0,-240,0.550724638,0.072463768,0.0
0,0,120,1,0,1,-134,0.008547009,0.0,0.142857143
0,0,180,1,1,1,-154,0.177419355,0.0,1.0
1,1,330,0,0,1,-112,0.0,0.0,0.0
1,1,30,1,1,1,5,0.0,0.0,0.0
0,0,300,1,1,1,-42,0.0,0.0,0.0
0,0,300,0,0,1,-240,0.010752688,0.0,0.0
0,0,90,1,1,1,-224,0.076923077,0.0,0.0
0,0,120,1,1,1,2,0.11827957,0.0,0.272727273
0,1,90,1,1,1,-20,0.0,0.0,0.0
1,1,60,1,1,1,-51,0.857142857,0.285714286,0.6
0,0,300,0,0,0,-72,0.196319018,0.024539877,0.0
1,1,360,1,0,0,-82,0.005882353,0.0,0.0
0,0,90,0,1,1,-196,0.125,0.0,0.166666667
0,0,240,0,1,1,-174,0.0,0.0,0.0
0,0,0,1,1,1,-239,0.0,0.0,0.0
0,0,240,1,1,1,-131,0.0,0.0,0.0
0,0,150,0,0,1,-229,0.396226415,0.0,0.0
0,0,120,0,1,1,-183,0.188679245,0.0,0.5
1,1,60,1,1,1,-821,0.060606061,0.0,0.0
0,1,120,1,1,1,-136,0.113207547,0.0,0.0
1,1,120,1,1,1,-169,0.164835165,0.032967033,0.625
