INDIVIDUAL_ID,cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
1E+12,1,1,330,9,2,Self Enrolled,292,0.071428571,0,0
1E+12, , ,540,1,2,Self Enrolled,-107,0.08045977,0,0
1E+12, , ,630,1,1,Self Enrolled,-259,0.090909091,0.090909091,0
1E+12,3,1,30,4,1,Self Enrolled,-245,0.03,0.01,0.4
1E+12, , ,60,1,1,Self Enrolled,-239,0.529411765,0.117647059,0
1E+12, , ,870,2,3,Self Enrolled,-244,0,0,0
1E+12, , ,210,3,1,Self Enrolled,75,0.222222222,0,0.333333333
1E+12, , ,1080,2,1,Self Enrolled,-247,0.028571429,0,0
1E+12,5,5,90,2,3,Self Enrolled,-231,0.102040816,0.020408163,0
1E+12,2,2,270,3,3,Self Enrolled,-3,0,0,0
1E+12,1, ,420,3,2,Self Enrolled,-82,0,0,0
1E+12, , ,450,3,1,Self Enrolled,-237,0.036144578,0,0
1E+12,1,1,210,1,2,Self Enrolled,-34,0.868421053,0.236842105,0
1E+12, , ,930,1,2,CoReg,-128,0.013888889,0,0
1E+12, , ,930,1,1,Self Enrolled,42,0.296296296,0.037037037,0.333333333
1E+12,1,1,270,1,1,Self Enrolled,-30,0.033333333,0.011111111,0
1E+12, , ,690,1,1,Self Enrolled,-23,0.727272727,0.051948052,0
1E+12, , ,0,3,1,Self Enrolled,-110,0,0.047619048,0
1E+12,3, ,510,9,3,Self Enrolled,-220,0,0,0
1E+12,4,3,90,1,3,Self Enrolled,-1281,0,0,0
1E+12, , ,690,1,2,Self Enrolled,-7,0.075949367,0,0
1E+12, , ,570,3,1,Self Enrolled,-134,0.157894737,0.026315789,0
1E+12, , ,660,1,1,Self Enrolled,-35,0.011764706,0,0
1E+12, , ,1020,2,1,Self Enrolled,19,0.435483871,0.016129032,0
1E+12, ,2,150,3,1,Self Enrolled,-23,0.032608696,0.010869565,0
1E+12, , ,720,3,1,Self Enrolled,-6,0.013513514,0,0
1E+12, , ,330,3,1,Self Enrolled,-163,0,0,0
1E+12, , ,960,1,3,Self Enrolled,-122,0.036144578,0,0
1E+12,4,4,150,3,1,Self Enrolled,-112,0.084337349,0.012048193,0
1E+12, , ,150,1,1,Self Enrolled,-65,0.012345679,0,0
1E+12, , ,870,2,1,Self Enrolled,-24,0.041666667,0.027777778,0
1E+12,1,1,120,3,1,Self Enrolled,-10,0.046728972,0,0
1E+12, , ,630,1,1,Self Enrolled,-15,0.066666667,0.00952381,0
1E+12,1,1,210,1,3,Self Enrolled,-232,0,0,0
1E+12, ,2,270,1,2,Self Enrolled,154,0.026315789,0.013157895,0
1E+12, , ,210,4,1,Self Enrolled,-55,0.141025641,0.038461538,0
1E+12, , ,210,1,1,Self Enrolled,-4,0.021276596,0,0
1E+12, , ,780,1,1,Self Enrolled,-234,0.625,0.125,0.2
1E+12, , ,780, ,1,Self Enrolled,44,0.028169014,0.014084507,0
1E+12, , ,690,1,1,Self Enrolled,-236,0,0,0
1E+12, , ,660,1,1,Self Enrolled,-81,0.057142857,0.014285714,0
1E+12, , ,660,1,3,Self Enrolled,-115,0.028776978,0,0
1E+12, ,5,240,1,1,Self Enrolled,-63,0.065934066,0,0
1E+12, , ,780,1,1,Self Enrolled,-129,0,0,0
1E+12,2, ,420,1,1,Self Enrolled,-14,0.075757576,0,0
1E+12,5, ,720,1,1,Self Enrolled,-175,0.012987013,0,0
1E+12, , ,60,1,1,Self Enrolled,-81,0.071428571,0,0
1E+12,2,3,90,3,2,Self Enrolled,-68,0.102941176,0.044117647,0
1E+12, , ,960,3,2,Self Enrolled,-147,0.092592593,0,0
1E+12, , ,60,3,1,Self Enrolled,-139,0.044776119,0.007462687,0.363636364
1E+12, , ,630,3,2,Self Enrolled,27,0,0,0
1E+12, , ,540,3,3,Self Enrolled,-179,0.033707865,0.011235955,0
1E+12, , ,450,1,1,Self Enrolled,-278,0,0,0
1E+12, , ,750,1,2,Self Enrolled,-150,0,0,0
1E+12, , ,330,1,2,Self Enrolled,-946,0.015503876,0,0
1E+12, , ,30,3,1,Self Enrolled,-189,0.039215686,0,1
1E+12, , ,330, ,1,Self Enrolled,-156,0.011111111,0,0
1E+12, ,1,120,3,2,Self Enrolled,-133,0.022727273,0,0
1E+12, , ,780,3,2,Self Enrolled,-138,0.047244094,0.015748031,0
1E+12, , ,840,1,1,Self Enrolled,-180,0.163636364,0.018181818,0.166666667
1E+12, , ,0,1,1,Self Enrolled,-70,0.818181818,0,0
1E+12, , ,120,1,1,Self Enrolled,-112,0.011235955,0,0
1E+12, , ,30,3,1,Self Enrolled,-1280,0.016806723,0.008403361,0
1E+12, , ,180,3,1,Self Enrolled,-192,0.031914894,0,0
1E+12, , ,840,1,2,Self Enrolled,-75,0,0,0
1E+12,3, ,990,3,2,Self Enrolled,-168,0.866666667,0.2,0
1E+12, , ,750,3,1,Self Enrolled,-163,0,0,1
1E+12, , ,510,1,2,Self Enrolled,-17,0.328571429,0.042857143,0
1E+12, , ,690,1,2,Self Enrolled,-56,0.038095238,0,0.666666667
1E+12, , ,810,1,2,Self Enrolled,101,0.018518519,0,0
1E+12, , ,780,1,1,Self Enrolled,-189,0.013157895,0.013157895,0
1E+12,1,1,360,1,1,Self Enrolled,-137,0.011235955,0,0
1E+12, , ,930,1,3,Self Enrolled,22,0.40625,0,0
1E+12,1,1,270,1,1,Self Enrolled,-145,0.590909091,0,0
1E+12, , ,810,1,2,Self Enrolled,-90,0,0,0
1E+12, , ,90,1,1,Self Enrolled,-208,0.230769231,0.015384615,0
1E+12, , ,60,1,1,Self Enrolled,-221,0.023076923,0,0
1E+12, , ,570,1,2,Self Enrolled,-164,0,0,0
1E+12, , ,870,1,1,Self Enrolled,-6,0,0,0
1E+12, , ,1080,1,1,Self Enrolled,-167,0.020833333,0,0
1E+12,2, ,630,3,1,Self Enrolled,-8,0,0,0
1E+12, , ,510,1,3,Self Enrolled,-243,0.028571429,0,0
1E+12, , ,630,1,1,Self Enrolled,-89,0.093023256,0,0
1E+12, , ,1020,1,2,Self Enrolled,114,0.058823529,0,0
1E+12, , ,690,1,3,Self Enrolled,-24,0.011494253,0,0
1E+12,6,6,30,1,2,Self Enrolled,-966,0,0,0
1E+12,1,1,60,1,2,Self Enrolled,23,0.058823529,0.003267974,0
1E+12, , ,840,1,1,Self Enrolled,-137,0.055555556,0,0
1E+12, , ,690,1,1,CoReg,-216,0,0,0
1E+12, , ,960,1,2,CoReg,-119,0.189655172,0,0
1E+12, , ,60,9,1,Self Enrolled,-133,0.2,0.057142857,0
1E+12, , ,600,1,2,Self Enrolled,-131,0,0,0.166666667
1E+12, , ,0,1,1,Self Enrolled,-137,0.166666667,0.022222222,0.285714286
1E+12, , ,1020,1,2,Self Enrolled,-123,0.130841121,0,0
1E+12,4,6,210,1,2,Self Enrolled,-175,0.037383178,0,0
1E+12, , ,390,1,1,Self Enrolled,-89,0.02247191,0,0
1E+12,3,3,240,1,2,CoReg,-217,0.294117647,0,0
1E+12, , ,0,1,1,CoReg,-192,0.088888889,0,0
1E+12, , ,780,3,1,Self Enrolled,-130,0.010989011,0,0
1E+12, , ,510,1,2,Self Enrolled,-32,0.03030303,0,0
1E+12,1, ,780,3,2,Self Enrolled,-95,0.244186047,0.034883721,0
1E+12,4,4,210,1,2,CoReg,27,0.140625,0,0
1E+12, , ,810,1,2,Self Enrolled,-87,0.010989011,0,0
1E+12,4,2,90,1,2,Self Enrolled,-21,0.00990099,0,0
1E+12,2,2,90,1,3,Self Enrolled,-106,0.011111111,0,0
1E+12,6, ,720,3,2,Self Enrolled,-172,0.010638298,0,0
1E+12,5,5,120,1,2,CoReg,-42,0.055555556,0.013888889,0
1E+12,4,1,60,3,1,Self Enrolled,-1917,0.333333333,0.044444444,0
1E+12,3,1,0,1,3,Self Enrolled,-241,0.208,0.008,0
1E+12, , ,510,1,1,Self Enrolled,-185,0.125,0.125,0
1E+12, , ,750,9,1,Self Enrolled,-132,0,0,0
1E+12, , ,600,3,1,CoReg,-161,0,0,0
1E+12,3, ,930,3,1,Self Enrolled,28,0.054054054,0,0
1E+12, , ,750,3,2,Self Enrolled,37,0.015151515,0.015151515,0
1E+12, ,1,210,1,1,Self Enrolled,-145,0.04,0.01,0.5
1E+12, , ,810,3,1,Self Enrolled,-94,0,0,0
1E+12,1,3,270,3,2,Self Enrolled,20,0.5625,0.075,0.2
1E+12, , ,750,1,1,Self Enrolled,29,0.053333333,0.026666667,0
1E+12, , ,300,1,1,Self Enrolled,-107,0.25,0,0
1E+12, , ,720,1,3,Self Enrolled,-259,0.071428571,0.031746032,0
1E+12, ,3,150,1,2,Self Enrolled,-174,0.074829932,0,0.666666667
1E+12, , ,930,1,2,Self Enrolled,43,0.09375,0,0
1.00001E+12, , ,810,3,1,Self Enrolled,-170,0.34,0.04,0
1.00001E+12, , ,570,1,2,Self Enrolled,-129,0,0,0
1.00001E+12, , ,390,1,1,Self Enrolled,-152,0.212121212,0.060606061,0
1.00001E+12,4,4,300,3,1,Self Enrolled,-160,0.037037037,0.024691358,0.333333333
1.00001E+12,4,4,120,1,2,Self Enrolled,-37,0.01010101,0.01010101,0
1.00001E+12, , ,1080,1,3,Self Enrolled,-200,0.1,0,0
1.00001E+12, , ,1050,1,2,Self Enrolled,-227,0.188888889,0.022222222,0
1.00001E+12,1, ,750,1,2,Self Enrolled,-14,0.1,0,0
1.00001E+12, , ,690,1,3,Self Enrolled,-210,0.1875,0.01875,0.285714286
1.00001E+12, , ,90,1,1,Self Enrolled,-248,0.179487179,0.025641026,0.5
1.00001E+12,3,3,180,3,1,Self Enrolled,-71,0.00952381,0,0
1.00001E+12,1,1,0,1,2,Self Enrolled,-1048,0.112903226,0,0
1.00001E+12, ,1,90,1,1,Self Enrolled,-96,0.253623188,0.065217391,0
1.00001E+12, , ,960,4,1,Self Enrolled,-197,0.08045977,0.011494253,0
1.00001E+12, ,3,180,1,1,CoReg,-226,0.18556701,0.020618557,0
1.00001E+12, , ,930,1,2,Self Enrolled,-50,0.696202532,0,0
1.00001E+12, , ,240,1,1,Self Enrolled,-209,0.008,0,0
1.00001E+12,5,5,210,1,1,Self Enrolled,-189,0,0,0
1.00001E+12, , ,150,9,1,Self Enrolled,-67,0.152671756,0.022900763,0.125
1.00001E+12, , ,480,1,1,Self Enrolled,-234,0,0,0
1.00001E+12,3,1,0,2,3,Self Enrolled,-202,0,0,0
1.00001E+12, , ,900,1,1,Self Enrolled,-87,0.024390244,0.012195122,0
1.00001E+12, , ,750,1,2,Self Enrolled,-158,0.022222222,0,0.166666667
1.00001E+12,1,1,150,1,1,Self Enrolled,62,0.046875,0.015625,0
1.00001E+12, , ,900,3,2,Self Enrolled,190,0,0,0
1.00001E+12, , ,180,1,1,Self Enrolled,-64,0.06557377,0,0
1.00001E+12, , ,930,1,2,Self Enrolled,-229,0.016260163,0,0
1.00001E+12, , ,480,1,1,Self Enrolled,-211,0.109195402,0,0
1.00001E+12, , ,900, ,1,CoReg,-232,0.078651685,0.02247191,0.2
1.00001E+12,3,3,180,3,2,Self Enrolled,87,0.010989011,0,0
1.00001E+12,3,1,180,1,2,Self Enrolled,12,0.065934066,0,0
1.00001E+12, ,1,180,1,2,Self Enrolled,-51,0.076923077,0,0
1.00001E+12,1,1,210,2,2,Others,-85,0.175438596,0.00877193,0
1.00001E+12, , ,540,3,2,Self Enrolled,-171,0.045454545,0,0
1.00001E+12, , ,450,1,3,Self Enrolled,-234,0,0,0
1.00001E+12,2,4,300,3,2,Self Enrolled,166,0.573770492,0.081967213,0
1.00001E+12, , ,840,3,1,Self Enrolled,-153,0,0,0
1.00001E+12, , ,630,3,1,Self Enrolled,-112,0.101123596,0.011235955,0
1.00001E+12, ,5,360,1,2,Self Enrolled,-1004,0.320512821,0.025641026,0.25
1.00001E+12,1,1,60,1,2,Self Enrolled,-100,0.362903226,0.080645161,0
1.00001E+12,2,1,120,1,1,Self Enrolled,-1053,0.081395349,0.023255814,0
1.00001E+12, , ,150,1,1,Self Enrolled,-231,0.027586207,0,0.111111111
1.00001E+12, , ,660,1,1,Self Enrolled,-41,0.023255814,0,0
1.00001E+12, , ,480,3,1,Self Enrolled,-248,0.117647059,0.039215686,0
1.00001E+12,3, ,870,9,1,Self Enrolled,-1293,0.038095238,0.028571429,0
1.00001E+12,3,3,330,3,2,Self Enrolled,-75,0.038461538,0,0
1.00001E+12, , ,30,1,1,Self Enrolled,-23,0.036764706,0.014705882,0.25
1.00001E+12, , ,930,1,1,Self Enrolled,-1229,0.129032258,0.032258065,0
1.00001E+12,2,2,30,1,2,Self Enrolled,-181,0.058823529,0,0
1.00001E+12, , ,720,1,3,Self Enrolled,4,0.08974359,0,0
1.00001E+12, , ,960,1,1,Self Enrolled,-40,0.057471264,0,0
1.00001E+12, , ,870,1,2,Self Enrolled,-30,0.023809524,0,0
1.00001E+12, , ,480,1,1,Self Enrolled,-242,0.122222222,0.011111111,0
1.00001E+12, , ,810,1,2,Self Enrolled,-85,0.151898734,0.050632911,0
1.00001E+12, , ,690,3,1,Self Enrolled,-45,0,0,0
1.00001E+12, , ,510,3,1,Self Enrolled,-195,0.021052632,0,0
1.00001E+12, ,1,90,1,2,Self Enrolled,13,0.116883117,0,0
1.00001E+12, , ,60,1,1,Self Enrolled,-182,0.082644628,0.008264463,0.166666667
1.00001E+12,1, ,1050,1,1,Self Enrolled,53,0.333333333,0,0
1.00001E+12, , ,600,9,2,Self Enrolled,-119,0.02247191,0,0
1.00001E+12, , ,990,1,3,Self Enrolled,5,0,0,0
1.00001E+12, , ,570,9,1,Self Enrolled,-39,0.046728972,0,0
1.00001E+12,3, ,840,1,3,Self Enrolled,-139,0,0,0
